id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
Weapon_Bow_028,Arco de águila,Great Eagle Bow,Arc de l'aigle,참수리의 활,オオワシの弓,Большой орлиный лук,Adelaarsboog,Arco aquila,Adlerbogen,大鹫弓,大鷲弓,Arc de l'aigle,Arco de águila,Great Eagle Bow
Weapon_Bow_029,Arco del vigilante,Phrenic Bow,Arc de la dévotion,일심의 활,一心の弓,Лук средоточия,Focusboog,Arco della concentrazione,Isshin-Bogen,一心之弓,一心之弓,Arc de la dévotion,Arco del vigilante,Phrenic Bow
Weapon_Bow_030,Arco lizal de acero,Steel Lizal Bow,Arc lézal en acier,강철 리잘보우,鋼鉄リザルボウ,Стальной завролук,Stalen Lizal-boog,Arco lizal d'acciaio,Stahl-Echsalbogen,钢铁蜥蜴弓,鋼鐵蜥蜴弓,Arc lézal en acier,Arco lizal de acero,Steel Lizal Bow
Weapon_Bow_032,Arco colosal,Savage Lynel Bow,Arc du dieu bestial,야수신의 활,獣神の弓,Лук ужасного левра,Woeste Lynel-boog,Arco bestiale divino,Chimärenbogen,兽神弓,獸神弓,Arc du dieu bestial,Arco colosal,Savage Lynel Bow
Weapon_Bow_033,Arco de la guardia,Royal Guard's Bow,Arc de garde royal,근위의 활,近衛の弓,Гвардейский лук,Sheikah-boog,Arco da guardia reale,Gardebogen,近卫之弓,近衛之弓,Arc de garde royal,Arco de la guardia,Royal Guard's Bow
Weapon_Bow_035,Arco de caballero,Knight's Bow,Arc de chevalier,기사의 활,騎士の弓,Рыцарский лук,Ridderboog,Arco da cavaliere,Ritterbogen,骑士之弓,騎士之弓,Arc de chevalier,Arco de caballero,Knight's Bow
Weapon_Bow_036,Arco real,Royal Bow,Arc royal,왕가의 활,王家の弓,Королевский лук,Koninklijke boog,Arco reale,Königsbogen,王族之弓,王族之弓,Arc royal,Arco real,Royal Bow
Weapon_Bow_038,Arco de madera,Wooden Bow,Arc en bois,나무 활,木の弓,Деревянный лук,Houten boog,Arco di legno,Holzbogen,木之弓,木之弓,Arc en bois,Arco de madera,Wooden Bow
Weapon_Bow_040,Arco doble,Duplex Bow,Arc à double encoche,이연궁,二連弓,Двойной лук,Dubbelboog,Arco a doppiotiro,Doppelschussbogen,二连弓,二連弓,Arc à double encoche,Arco doble,Duplex Bow
Weapon_Bow_072,Arco crepuscular,Dusk Bow,Arc crépusculaire,황혼의 활,黄昏の弓,Лук Сумрака,Schemerboog,Arco del crepuscolo,Schattenbogen,黄昏之弓,黃昏之弓,Arc crépusculaire,Arco crepuscular,Dusk Bow
Weapon_Bow_101,Arco de zonnanio,Zonaite Bow,Arc de sonium,조나니움 활,ゾナニウムの弓,Зонаровый лук,Zonanium boog,Arco di zonanio,Sonanium-Bogen,左纳尼乌姆之弓,左納尼烏姆之弓,Arc de sonium,Arco de zonnanio,Zonaite Bow
Weapon_Bow_104,Arco de gólem,Construct Bow,Arc de Golem,골렘의 활,ゴーレムの弓,Лук голема,Zonoïdeboog,Arco del golem,Konstruktbogen,魔像之弓,魔像之弓,Arc de Golem,Arco de gólem,Construct Bow
Weapon_Bow_105,Arco de gólem reforzado,Strong Construct Bow,Arc de Golem renforcé,튼튼한 골렘의 활,ゴーレムの強弓,Лук голема+,Zonoïdeboog+,Arco del golem rinforzato,Starker Konstruktbogen,魔像之强弓,魔像之強弓,Arc de Golem renforcé,Arco de gólem reforzado,Strong Construct Bow
Weapon_Bow_106,Gran arco de gólem,Mighty Construct Bow,Arc de Golem surpuissant,강력한 골렘의 활,ゴーレムの剛弓,Лук голема++,Zonoïdeboog++,Arco del golem massiccio,Mächtiger Konstruktbogen,魔像之刚弓,魔像之剛弓,Arc de Golem surpuissant,Gran arco de gólem,Mighty Construct Bow
Weapon_Bow_107,Arco de madera viejo,Old Wooden Bow,Vieil arc en bois,낡은 나무 활,古びた木の弓,Старый деревянный лук,Oude houten boog,Arco di legno antico,Alter Holzbogen,残旧的木之弓,殘舊的木之弓,Vieil arc en bois,Arco de madera viejo,Old Wooden Bow
Weapon_Bow_166,Arco del rey demonio,Demon King's Bow,Arc du roi démon,마왕의 활,魔王の弓,Лук короля демонов,Demonenkoningboog,Arco del re dei demoni,Bogen des Dämonenkönigs,魔王之弓,魔王之弓,Arc du roi démon,Arco del rey demonio,Demon King's Bow
