id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
DefeatGanondorf,Derrota a Ganondorf,Destroy Ganondorf,Abattre Ganondorf,가논돌프 토벌,ガノンドロフ討伐,«Уничтожить Ганондорфа»,Vernietig Ganondorf,Sconfiggi Ganondorf,Vernichte Ganondorf,讨伐加侬多夫,討伐加儂多夫,Abattre Ganondorf,Derrota a Ganondorf,Destroy Ganondorf
MainChallenge,En busca de Zelda,Find Princess Zelda,À la recherche de Zelda,젤다를 찾아서,ゼルダをさがして,«Найти Зельду»,De zoektocht naar prinses Zelda,In cerca di Zelda,Die Suche nach Zelda,寻找塞尔达,尋找薩爾達,À la recherche de Zelda,En busca de Zelda,Find Princess Zelda
FindWithSensors,El laboratorio de Hatelia,Hateno Village Research Lab,Le laboratoire Pru'ha d'Elimith,하테노 마을의 연구소,ハテノ村の研究所,«Институт в Хатено»,Het onderzoeksinstituut in Hateno,Centro di ricerca del villaggio Finterra,Forschungsinstitut in Hateno,哈特诺村的研究所,哈特諾村的研究所,Le laboratoire Pru'ha d'Elimith,El laboratorio de Hatelia,Hateno Village Research Lab
HatenoPurchasePicture,Tu propia enciclopedia hyliana,Filling Out the Compendium,Votre encyclopédie personnelle,나만의 하이랄 도감,自分だけのハイラル図鑑,«Мой атлас Хайрула»,Je eigen encyclopedie,Il compendio di Hyrule,Dein Hyrule-Handbuch,自己专属的海拉鲁图鉴,自己專屬的海拉魯圖鑑,Votre encyclopédie personnelle,Tu propia enciclopedia hyliana,Filling Out the Compendium
GetWarpMarker,El teletransportador,Presenting: The Travel Medallion!,Activer l'amulette de téléportation,대발명! 워프 마커!!,大発明！ワープマーカー！！,«Медальон перемещения»,Het reismedaillon,L'amuleto del teletrasporto,Des Tüftlers Teleport-Medaillon,重大发明！传送标记器！,重大發明！傳送標記器！！,Activer l'amulette de téléportation,El teletransportador,Presenting: The Travel Medallion!
GetWalker,La Senda del héroe,Presenting: Hero's Path Mode!,Activer le mode empreintes,대발명! 발자국 모드,大発明！足跡モード,"«Великое изобретение — ""Путь героя""!»",Het heldenspoor,Il Cammino dell'eroe,Der Pfad des Helden,重大发明！足迹模式！,重大發明！足跡模式！,Activer le mode empreintes,La Senda del héroe,Presenting: Hero's Path Mode!
GetSensorPlus,El sensor enciclopédico,Presenting: Sensor +!,Le détecteur encyclopédique,대발명! 도감 센서,大発明！図鑑センサー,«Великое изобретение — локатор+»,De encyclopedie-sensor,Il sensore compendio,Ein Sensor der Superlative,重大发明！图鉴感应器！,重大發明！圖鑑感應器！,Le détecteur encyclopédique,El sensor enciclopédico,Presenting: Sensor +!
IchikaraChallenge01,Kariele se independiza,Mattison's Independence,Le départ de Tinieh,매티슨의 홀로서기,ウィッダの独り立ち,«Отъезд Ванды»,Mattisons onafhankelijkheid,La partenza di Parruda,Matildas Aufbruch,微达的独立,微達的獨立,Le départ de Tinieh,Kariele se independiza,Mattison's Independence
Hateno_Cheese,La carta de Orene,A Letter to Koyin,Les malheurs de Naye,코윈의 소중한 편지,トコユの大事な手紙,«Особое послание для Койин»,Koyins belangrijke brief,Una lettera importante,Ein Brief für Koyin,托可优的重要信件,托可優的重要信件,Les malheurs de Naye,La carta de Orenne,A Letter to Koyin
Hateno_RevitalizeByNewSpeciality,La nueva especialidad de Hatelia,A New Signature Food,Tout un fromage!,새로운 명물로 마을을 일으키자!,新名物で村おこし！,«Дедушкин рецепт»,De nieuwe dorpsspecialiteit!,Una nuova specialità per il villaggio,Eine neue Dorf-Leckerei!,用新名产振兴村子！,用新名產振興村子！,Tout un fromage !,Nueva especialidad hateliana,A New Signature Food
Hateno_SecretLifeOfKusayoshi,El secreto de Rendell,Reede's Secret,Le secret de Baldinn,리드의 비밀,クサヨシの秘密,«Тайна Рида»,Reedes geheim,Il segreto di Xaiosh,Rietnars Geheimnis,科沙尤西的秘密,科沙尤西的秘密,Le secret de Baldinn,El secreto de Rendell,Reede's Secret
Hateno_SecretLifeOfSagono,El secreto de Sogene,Cece's Secret,Le secret de Goutiée,사고노의 비밀,サゴノの秘密,«Тайна Сагоно»,Cece's geheim,Il segreto di Sagono,Sagonos Geheimnis,萨格诺的秘密,薩格諾的秘密,Le secret de Goutiée,El secreto de Sogene,Cece's Secret
Hateno_VillageMayorElection,¿Sogene o Rendell?,Team Cece or Team Reede?,Goutiée ou Baldinn?,당신은 사고노파? 리드파?,あなたサゴノ派？クサヨシ派？,«Ты за Сагоно или за Рида?»,Cece vs. Reede,Sagono o Xaiosh?,Sagono oder Rietnar?,你是萨格诺派？还是科沙尤西派？,你是薩格諾派還科沙尤西派？,Goutiée ou Baldinn ?,¿Sogene o Rendell?,Team Cece or Team Reede?
Hateno_LetUsElection,Las elecciones a la alcaldía,The Mayoral Election,Le grand débat,촌장 선거 개막!,いざ村長選！,«Выборы старосты деревни»,De burgemeestersverkiezing,Le elezioni del capovillaggio,Die Bürgermeisterwahl,村长选举开始！,決戰！村長選舉！,Le grand débat,Las elecciones a la alcaldía,The Mayoral Election
TauraChallenge001,Invasión pirata,Ruffian-Infested Village,Invasion de pirates!,몬스터 소굴이 된 마을,あらくれどもの巣くう村,«Вторжение пиратов»,Een vissersdorp vol monsters,L'invasione dei pirati,Ein Dorf voller Monster,横暴之徒盘踞的村子,粗暴之徒盤踞的村子,Invasion de pirates !,Invasión pirata,Ruffian-Infested Village
Uotori_RevivePlan,La reconstrucción de Onaona,Lurelin Village Restoration Project,Reconstruction d'Écaraille,나크시 마을 재건 계획,ウオトリー村再建計画,«Восстановление Лурелина»,De wederopbouw van Lurelin,La ricostruzione di Vappesca,Angelstedts Neugeburt,沃托里村重建计划,沃托里村重建計畫,Reconstruction d'Écaraille,La reconstrucción de Onaona,Lurelin Village Restoration Project
NewsPaper_Mitsuba,Los rumores sobre Zelda,Potential Princess Sightings!,En quête de vérité!,진실을 밝혀라! 젤다 공주의 소문!!,真実を探れ！ 噂のゼルダ姫！！,«В поисках правды о Зельде»,Zoektocht naar de ware prinses Zelda,Sulle tracce di Zelda!,Auf der Suche nach Wahrheit,调查真相！传言中的塞尔达公主！！,追求真相！薩爾達公主的傳聞！！,En quête de vérité !,Los rumores sobre Zelda,Potential Princess Sightings!
Tribune07,La mujer sospechosa,The Beckoning Woman,Personne en détresse,유인하는 여자,いざなう女,«Незнакомке нужна помощь»,Een persoon in nood,Una persona in difficoltà,Die Hilfesuchende,递出邀请的女性,提出邀請的女性,Personne en détresse,La mujer sospechosa,The Beckoning Woman
Tribune04,Los huéspedes desaparecidos,Gourmets Gone Missing,Les gourmets n'arrivent pas,오지 않는 미식가,訪れぬ美食家,«Пропавшие повара»,De vermiste fijnproevers,I buongustai ritardatari,Feinschmecker vermisst,未抵达的美食家,久未來訪的美食家,Les gourmets n'arrivent pas,Los huéspedes desaparecidos,Gourmets Gone Missing
Tribune06,La princesa y el monstruo,The Beast and the Princess,La princesse chevauchant une bête,괴물에 탄 공주,怪物に乗った姫,«Принцесса и чудовище»,De prinses en het monster,La principessa e il mostro,Prinzessin auf dem Monster,乘在妖兽上的公主,騎著妖獸的公主,La princesse chevauchant une bête,La princesa y el monstruo,The Beast and the Princess
Tribune09,El fiel caballo dorado de Zelda,Zelda's Golden Horse,Le cheval doré de Zelda,젤다가 사랑한 황금마,ゼルダが愛した金色の馬,«Золотая лошадь Зельды»,Het gouden paard van prinses Zelda,L'amato cavallo dorato di Zelda,Zeldas goldenes Pferd,塞尔达所爱的金色的马,薩爾達所愛的金色的馬,Le cheval doré de Zelda,El fiel caballo dorado de Zelda,Zelda's Golden Horse
Tribune03,El drama de las cabras fugitivas,White Goats Gone Missing,Les chèvres en fuite,길 잃은 흰염소의 수난,迷えるシロヤギの受難,«Сбежавшие козы»,De vermiste witte geiten,L'odissea delle capre bianche,Der Kummer der Ziegen,受难的迷途白山羊,迷途白山羊的受難,Les chèvres en fuite,El drama de las cabras huidas,White Goats Gone Missing
Tribune11,Las órdenes de la princesa,For Our Princess!,Pour l'amour de la princesse,마이 스위트 프린세스,マイスイートプリンセス,«Наказ принцессы»,De Zonai-onderbroeksgroep,Gli ordini della principessa,"Oh, du süße Prinzessin",我亲爱的公主,我親愛的公主,Pour l'amour de la princesse,Las órdenes de la princesa,For Our Princess!
Tribune10,Tal y como dijo el cuco vidente,The All-Clucking Cucco,L'oracle cocotte,꼬꼬님의 뜻대로,コッコ様の言う通り,«Предсказание Кокко»,De orakelende cucco,Le profezie dell'oracolo coccò,Das Hühnerorakel,遵从咕咕鸡大人的指示,遵從咕咕雞大人的指示,L'oracle cocotte,Tal y como dijo el cuco vidente,The All-Clucking Cucco
Tribune05,Los instrumentos desaparecidos,The Missing Farm Tools,Les outils disparus,사라진 농기구,消えた農具,«Пропавшие садовые инструменты»,Het verdwenen tuingereedschap,Gli attrezzi scomparsi,Verschwundene Gartengeräte,消失的农具,消失的農具,Les outils disparus,Los aperos desaparecidos,The Missing Farm Tools
Tribune02,El misterioso secuestro,Princess Zelda Kidnapped?!,L'enlèvement de Zelda?!,젤다 공주 납치 사건?!,ゼルダ姫誘拐事件！？,«Принцессу Зельду похитили?!»,De ontvoering van prinses Zelda?!,Il rapimento di Zelda,Prinzessin Zelda entführt?!,塞尔达公主绑架事件！？,薩爾達公主綁架事件！？,L'enlèvement de Zelda ?!,El misterioso secuestro,Princess Zelda Kidnapped?!
Tribune13,La voz inquietante,An Eerie Voice,Un sinistre chant,섬뜩한 목소리,不気味な声,«Жуткий голос»,Een griezelige stem,Una voce inquietante,Eine schaurige Stimme,诡异之声,詭異的聲音,Un sinistre chant,La voz inquietante,An Eerie Voice
Tribune14,El pozo sellado,The Blocked Well,Le puits hors service,봉인된 우물,封じられた井戸,«Перекрытый колодец»,De afgesloten put,Il pozzo sigillato,Die versiegelte Quelle,被封住的井,被封住的水井,Le puits hors service,El pozo sellado,The Blocked Well
Orchestra03,El deseo del flautista,The Flute Player's Plan,Le joueur de flûte des montagnes,피리 부는 소년이 찾는 것,笛吹き少年の探しモノ,«Что ищет флейтист»,Fluitspeler in vuur en vlam,La richiesta del flautista,Die Suche des Flötenspielers,吹笛少年寻找之物,吹笛少年所尋之物,Le joueur de flûte des alpages,El deseo del flautista,The Flute Player's Plan
Orchestra02,Dulce como la miel,"Honey, Bee Mine",La danse des abeilles,전해라! 허니 비트!!,届け！ ハニービート！！,«Мед для Бубы»,Zoet als honing,Una dolce musica,Honigsüßer Hochgenuss,传递！甜蜜节奏！！,傳達吧！甜蜜節奏！！,La danse des abeilles,Dulce como la miel,"Honey, Bee Mine"
Orchestra04,La dramática huida del instrumentista,The Hornist's Dramatic Escape,Le sauvetage du joueur de cor,호른 연주자의 탈출극,角笛奏者の脱出劇,«Грандиозное спасение рожечника»,De ontsnapping van de hoornist,Caduta e fuga del cornista,Die Rettung des Hornisten,圆号乐手的脱逃剧,圓號演奏者的脫逃劇,Le sauvetage du joueur de cor,La dramática huida del instrumentista,The Hornist's Dramatic Escape
Tribune16,Serenata para la gran hada,Serenade to a Great Fairy,Sérénade pour une grande fée,대요정에게 바치는 세레나데,大妖精に捧げるセレナーデ,«Серенада для большой феи»,Een optreden voor Tera,Serenata a una fata radiosa,Eine Serenade für die Große Fee,献给大妖精的小夜曲,獻給大妖精的小夜曲,Sérénade pour une grande fée,Serenata para la gran hada,Serenade to a Great Fairy
Fairy4,Serenata para Kaysa,Serenade to Kaysa,Sérénade pour Caesa,시저에게 바치는 세레나데,シーザに捧げるセレナーデ,«Серенада Цезаре»,Een optreden voor Kaysa,Serenata a Shizar,Eine Serenade für Caesa,献给西莎的小夜曲,獻給西莎的小夜曲,Sérénade pour Caesa,Serenata para Laniah,Serenade to Kaysa
Fairy3,Serenata para Seddha,Serenade to Cotera,Sérénade pour Cotura,크출라에게 바치는 세레나데,クチューラに捧げるセレナーデ,«Серенада Котере»,Een optreden voor Cotera,Serenata a Kutura,Eine Serenade für Cotura,献给可秋拉的小夜曲,獻給可秋拉的小夜曲,Sérénade pour Cotura,Serenata para Seddha,Serenade to Cotera
Fairy2,Serenata para Muarenn,Serenade to Mija,Sérénade pour Mijah,미자에게 바치는 세레나데,ミジャーに捧げるセレナーデ,«Серенада Мие»,Een optreden voor Mija,Serenata a Mijah,Eine Serenade für Mijah,献给弥佳的小夜曲,獻給彌佳的小夜曲,Sérénade pour Mijah,Serenata para Muarenn,Serenade to Mija
MercenaryChallenge_HyrulePlain,¡Devuelve la paz a la llanura!,Bring Peace to Hyrule Field!,Pacification de la plaine,하이랄 평원에 평화를!,ハイラル平原に平和を！,«Защита Хайрульской равнины»,Herstel de vrede op de Hyrule-vlakte,Riporta la pace nella piana di Hyrule!,Bringe der Ebene Frieden!,为海拉鲁平原带来和平！,為海拉魯平原帶來和平！,Pacification de la plaine,¡Devuelve la paz a la llanura!,Bring Peace to Hyrule Field!
MercenaryChallenge_Hebra,¡Devuelve la paz a Necluda!,Bring Peace to Necluda!,Pacification de Necluda,하테르에 평화를!,ハテールに平和を！,«Защита Неклюды»,Herstel de vrede in Necluda,Porta la pace a Necluda!,Bringe Necluda Frieden!,为哈特尔带来和平！,為哈特爾帶來和平！,Pacification de Necluda,¡Devuelve la paz a Necluda!,Bring Peace to Necluda!
MercenaryChallenge_Eldin,¡Devuelve la paz a Eldin!,Bring Peace to Eldin!,Pacification d'Ordinn,올딘에 평화를!,オルディンに平和を！,«Защита Элдина»,Herstel de vrede in Eldin,Riporta la pace a Oldin!,Bringe Eldin Frieden!,为奥尔汀带来和平！,為奧爾汀帶來和平！,Pacification d'Ordinn,¡Devuelve la paz a Eldin!,Bring Peace to Eldin!
MercenaryChallenge_Akkare,¡Devuelve la paz a Akkala!,Bring Peace to Akkala!,Pacification d'Akkala,추낙에 평화를!,アッカレに平和を！,«Защита Аккалы»,Herstel de vrede in Akkala,Riporta la pace ad Akkala!,Bringe Akkala Frieden!,为阿卡莱带来和平！,為阿卡萊帶來和平！,Pacification d'Akkala,¡Devuelve la paz a Akkala!,Bring Peace to Akkala!
MercenaryChallenge_Firone,¡Devuelve la paz a Farone!,Bring Peace to Faron!,Pacification de Firone,필로네에 평화를!,フィローネに平和を！,«Защита Фарона»,Herstel de vrede in Faron,Riporta la pace a Firone!,Bringe Phirone Frieden!,为费罗尼带来和平！,為費羅尼帶來和平！,Pacification de Firone,¡Devuelve la paz a Farone!,Bring Peace to Faron!
MercenaryChallenge_Hateru,¡Devuelve la paz a Hebra!,Bring Peace to Hebra!,Pacification d'Hébra,헤브라에 평화를!,ヘブラに平和を！,«Защита Эбры»,Herstel de vrede in Hebra,Riporta la pace a Hebra!,Bringe Hebra Frieden!,为海布拉带来和平！,為海布拉帶來和平！,Pacification d'Hébra,¡Devuelve la paz a Hebra!,Bring Peace to Hebra!
OldKorokHelp,Las desventuras de Obab,Hestu's Concerns,Les ennuis de Noïa,보쿠린의 고민,ボックリンの困りごと,«У Эсту неприятности»,De sores van Hestu,I timori di Castonne,Maronus in der Patsche,伯库林的烦恼,伯庫林的煩惱,Les ennuis de Noïa,Las cuitas de Obab,Hestu's Concerns
NushiShop_Tutorial,¡Los emblemas de fantasmo!,The Hunt for Bubbul Gems!,En quête d'un cristal d'Elusis,찾아라! 마요이의 유실물,探して！ マヨイの落とし物,«Найти дар пещерной пипы»,Zoek een Bubbul-kikkerkristal!,Trova l'emblema di rospettro!,Suche das Mayoi-Signum,寻找！魔犹伊的遗失物,尋找魔猶伊的遺失物！,En quête d'un cristal d'Elusis,¡A por emblemas de fantasmo!,The Hunt for Bubbul Gems!
NushiShop_Challenge00,¿Dónde está Koltin?,The Search for Koltin,Les pérégrinations de Koltin,콜텐의 행방,コルテンの行方,«Найти Колтина»,Waar is Koltin?,Dove è finito Koltin?,Wo ist Koltin?,柯尔天的下落,柯爾天的下落,Les pérégrinations de Koltin,¿Dónde está Koltin?,The Search for Koltin
MonsterFigures01,Mi colección de monstruos,A Monstrous Collection I,Le collectionneur de monstres,나만의 몬스터 컬렉션,僕だけの魔物コレクション,«Коллекция монстров»,Mijn eigen monstercollectie,La mia collezione di mostri,Meine kleine Monstersammlung,只属于我的怪物收藏品,只屬於我的怪物收藏品,Le collectionneur de monstres,Mi colección de monstruos,A Monstrous Collection I
MonsterFigures02,Mi colección de monstruos 2,A Monstrous Collection II,Le collectionneur de monstres 2,나만의 몬스터 컬렉션 2,僕だけの魔物コレクション2,«Коллекция монстров 2»,Mijn eigen monstercollectie 2,La mia collezione di mostri 2,Meine kleine Monstersammlung 2,只属于我的怪物收藏品2,只屬於我的怪物收藏品2,Le collectionneur de monstres 2,Mi colección de monstruos 2,A Monstrous Collection II
MonsterFigures03,Mi colección de monstruos 3,A Monstrous Collection III,Le collectionneur de monstres 3,나만의 몬스터 컬렉션 3,僕だけの魔物コレクション3,«Коллекция монстров 3»,Mijn eigen monstercollectie 3,La mia collezione di mostri 3,Meine kleine Monstersammlung 3,只属于我的怪物收藏品3,只屬於我的怪物收藏品3,Le collectionneur de monstres 3,Mi colección de monstruos 3,A Monstrous Collection III
MonsterFigures04,Mi colección de monstruos 4,A Monstrous Collection IV,Le collectionneur de monstres 4,나만의 몬스터 컬렉션 4,僕だけの魔物コレクション4,«Коллекция монстров 4»,Mijn eigen monstercollectie 4,La mia collezione di mostri 4,Meine kleine Monstersammlung 4,只属于我的怪物收藏品4,只屬於我的怪物收藏品4,Le collectionneur de monstres 4,Mi colección de monstruos 4,A Monstrous Collection IV
MonsterFigures05,Mi colección de monstruos 5,A Monstrous Collection V,Le collectionneur de monstres 5,나만의 몬스터 컬렉션 5,僕だけの魔物コレクション5,«Коллекция монстров 5»,Mijn eigen monstercollectie 5,La mia collezione di mostri 5,Meine kleine Monstersammlung 5,只属于我的怪物收藏品5,只屬於我的怪物收藏品5,Le collectionneur de monstres 5,Mi colección de monstruos 5,A Monstrous Collection V
BlindRuinsTreasure,El misterio de las ruinas de Oumbra,Investigate the Thyphlo Ruins,Fouille des ruines des Obscurcies,드인블라 유적을 조사해라,ドイブラン遺跡を調査せよ,«Изучение Слепых руин»,Onderzoek naar de Thyphlo-ruïne,Esamina le rovine di Orbo,Untersuche die Deubran-Ruinen,调查德依布朗遗迹吧,調查德依布朗遺跡吧,Fouille des ruines des Obscurcies,El misterio de las ruinas de Oumbra,Investigate the Thyphlo Ruins
BlindRuinsTreasure_Rito,El búho que custodian los dragones,The Owl Protected by Dragons,Sous la garde des dragons,수많은 용이 지켜보는 올빼미,数多の龍に見守られしフクロウ,«Сова под защитой драконов»,De uil beschermd door draken,Il gufo protetto da molti draghi,Wo Drachen wachen,被众龙所守望的枭,受到眾多龍守望的貓頭鷹,Sous la garde des dragons,El búho que custodian los dragones,The Owl Protected by Dragons
BlindRuinsTreasure_Goron,El corredor entre los dos dragones,The Corridor between Two Dragons,Entre les deux dragons,두 용의 사이,二つの龍の狭間,«Коридор меж двух драконов»,De gang tussen de draken,Il corridoio tra i due draghi,Zwischen zwei Drachen,两龙之间的夹缝,雙龍夾縫之間,Entre les deux dragons,El corredor entre los dos dragones,The Corridor between Two Dragons
BlindRuinsTreasure_Zora,En presencia de los seis dragones,The Six Dragons,En présence des six dragons,여섯 용의 어전,六つの龍の御前,«Перед шестью драконами»,In het bijzijn van zes draken,Al cospetto dei sei draghi,Audienz bei den sechs Drachen,六龙御前,在六龍眼前,En présence des six dragons,En presencia de los seis dragones,The Six Dragons
BlindRuinsTreasure_Gerudo,El dragón de cuerpo alargado,The Long Dragon,À la pointe du long dragon,몸이 긴 수호룡,長き体の守護龍,«Длиннохвостый дракон-защитник»,De lange draak,Il drago dal lungo corpo,Der lange Drachenwächter,身体纤长的守护龙,長長軀體的守護龍,À la pointe du long dragon,El dragón de cuerpo alargado,The Long Dragon
FirstskyislandReturns,Los albores de la isla,Legend of the Great Sky Island,L'île céleste de l'Éveil,시작의 하늘섬의 전승,始まりの空島の伝承,«Легенда Великого острова»,Het Hemeleiland der Wederopstanding,L'isola celeste delle origini,Die Vergessene Himmelsinsel,初始空岛的渊源,初始空島的傳承,L'île céleste du Prélude,Los albores de la isla,Legend of the Great Sky Island
